palette name,pictures,rose,red,orange,yellow,lime,green,teal,cyan,azure,blue,purple,magenta
02591_vermilionlakes_2560x1600,597,0,0,286,567,1,0,0,0,0,0,0,0
02595_oiawindmills_2560x1600,740,0,0,1,14,0,0,0,0,52,718,42,0
02596_lakehawea_2560x1600,603,0,0,3,594,234,0,0,0,0,0,0,0
02598_asgardrealmofthegods_2560x1600,559,0,7,487,130,0,0,0,0,1,60,0,0
02604_platform_2560x1600,680,0,0,0,0,0,2,361,31,3,21,114,200
02605_journeytoheaven_2560x1600,469,34,37,20,1,0,0,0,0,9,202,119,62
103420,118,0,89,47,10,0,0,0,0,0,0,0,0
2pi1Zz6,514,0,0,0,0,0,1,50,152,14,33,285,31
72kcy - Imgur,458,1,248,439,0,0,0,0,0,0,0,0,0
795548-3840x2160-desktop-4k-fractal-background,298,0,0,0,0,0,1,41,295,0,0,0,0
795549-3840x2160-desktop-4k-fractal-background,453,0,21,439,187,0,0,0,0,0,0,0,0
795565-3840x2160-desktop-4k-fractal-wallpaper-image,653,176,237,0,0,0,1,1,0,0,152,169,39
Abyss to Foam,597,0,0,0,0,0,316,214,160,74,6,0,0
Amber Highlands,348,0,12,346,81,0,0,0,0,0,0,0,0
Amber Signal,399,0,3,271,377,2,0,0,0,0,0,0,0
Amber Through Teal and Lime,567,0,0,31,2,144,214,315,0,0,0,0,0
Amethyst Veil,667,0,0,0,0,0,0,0,0,4,24,74,617
Arcade Black,373,177,0,1,138,0,0,0,0,72,7,2,25
Ash Ember Arc,547,0,14,543,70,0,0,0,0,0,0,0,0
Ash Gold,505,0,0,0,467,4,0,0,0,0,3,0,0
Ash Rose Vault,857,788,131,0,0,0,0,0,0,0,0,0,263
Ashen Orchid,580,0,0,0,0,0,0,0,57,30,4,48,481
Aster Bloom,549,0,0,0,0,1,281,261,44,4,1,24,79
Aurora Curtain,470,0,0,0,0,0,185,80,35,217,85,0,0
Aurora Undertow,469,0,0,0,0,2,273,105,5,174,1,0,0
Azure & Coal,558,0,33,163,0,0,0,0,0,417,52,1,0
