palette name,count
river-of-light-25,19
Pale Fire Rose,10
Rose Against Cobalt,10
cmr.gothic,10
fractal_abstraction_lines_130499_2560x1600,10
Chalcedony,9
RdPu,9
torque-25,9
wallhaven_wallhaven-1joljg,9
Emerald Ingot,8
BuGn,7
Cobalt Orchid,7
Furnace Rose,7
Pale Ember Over Teal,7
Petrol Noon,7
cmr.voltage,7
consequences-25,7
fractal_flowers_abstract_104352_2560x1600,7
visions-25,7
wallhaven_wallhaven-6d3zz6,7
Deep Rose Vault,6
Ember Rose Ramp,6
Indigo Kindling,6
Nebula Veil,6
PuRd,6
Rose Furnace,6
Sapphire Against Rose,6
cmr.iceburn,6
cmr.ocean,6
rolling,6
Ash Rose Vault,5
Frost Orchid,5
Orchid Furnace,5
Regatta Ice,5
Rose Quartz Ramp,5
cmr.holly,5
cmr.redshift,5
nova-25,5
sad-eyes-25,5
skyroads-25,5
wallhaven_wallhaven-398e39,5
wallhaven_wallhaven-8xz1mk,5
wallhaven_wallhaven-oxxve5,5
wallhaven_wallhaven-vg1rzm,5
02596_lakehawea_2560x1600,4
02598_asgardrealmofthegods_2560x1600,4
Amethyst Veil,4
Bone Orchard Rose,4
Cobalt Without Daylight,4
Coral Tideline,4
Indigo Nocturne,4
Navy to Foam,4
Pale Moss Field,4
RdBu,4
Rose in Ash,4
YlGn,4
abstract-3d-wallpapers,4
along-the-starry-way-25,4
amazing-25,4
cmr.jungle,4
cmr.savanna,4
cmr.swamp,4
dessert-union-25,4
exile-25,4
gemini-25,4
house-of-ivory-25,4
of-strange-design-25,4
wallhaven_wallhaven-0w8gpp,4
Amber Signal,3
Bauhaus Primary,3
Bone and Moss,3
Coal & Coal-Fire,3
Cobalt & Coal,3
Cobalt Meets Rust,3
"Copper Bloom, Teal Fleck",3
Coral in the Trench,3
Ember Terracotta,3
Emerald Furnace,3
Foam & Olive,3
Glacier Drift,3
Ice Shaft,3
"Mint Field, Teal Well",3
Nightbloom Signal,3
OrRd,3
Oranges,3
Petrol Bloom,3
Porcelain Azure,3
Porcelain Field,3
Sea Glass Dawn,3
Terminal Flare,3
Three Coals,3
Three Jewels,3
Verdant Ascent,3
YlGnBu,3
YlOrBr,3
abstract-wallpaper-backgrounds-hd,3
afmhot,3
blacklight-25,3
carried-away-25,3
cet_linear_protanopic_deuteranopic_kyw_5_95_c49,3
cmr.copper_s,3
cmr.wildfire,3
desire-framed-25,3
dinlappi,3
early-may-25,3
fantasy-25,3
fractalscape-25,3
glowdon,3
green-dragon-25,3
helping-hands-25,3
hoarfrost-25,3
malign-25,3
ocean,3
paezing,3
pilgrim,3
polished-25,3
scattering-25,3
seaweed-25,3
sun-god-25,3
visionary-spires-25,3
wallhaven_wallhaven-kwg7v6,3
watercolours-in-the-rain-25,3
795548-3840x2160-desktop-4k-fractal-background,2
795549-3840x2160-desktop-4k-fractal-background,2
795565-3840x2160-desktop-4k-fractal-wallpaper-image,2
Black Iris,2
Blossom Triad,2
Bone & Bruise,2
Bone and Blush,2
Bone and Deep Green,2
Bone and Verdigris,2
BrBG,2
Brass Tide,2
Bruised Velvet,2
BuPu,2
Buried Fire,2
Burnt Boulevard,2
Chartreuse Eclipse,2
Cobalt Meets Blush,2
Drape & Shadow,2
Gold Cliff Sage,2
Green Water Drift,2
"Green Water, Blue Deep",2
"Green, Violet, Bone",2
"High Cyan, Low Gold",2
Indigo Rungs,2
Indigo Teal Crests,2
Indigo Tideline,2
Ink & Fuchsia Flare,2
"Lilac Drift, Plum Trough",2
Lilac Vellum,2
Long Autumn,2
Mesa Noon,2
Opal & Ink,2
PRGn,2
Pale Harbor,2
Pale Triad,2
Petal Dusk,2
Petrol & Coal,2
PiYG,2
Pine and Frost,2
Plum Anvil,2
Prism on Ice,2
PuBuGn,2
Purples,2
Rose Above,2
Rose Quartz Deep,2
Rust Kiln,2
Rust Lagoon,2
Sapphire in Blush,2
Slate Ascension,2
Sorbet Cellar,2
Sorbet Vault,2
"Teal Depths, Coral Spark",2
"Tidewater, Two Crests",2
Twilight Procession,2
Umber & Ember,2
Umber Procession,2
Verdant Mist,2
Verdigris & Fuchsia,2
Verdigris Coal,2
Violet Ascension,2
Y2K Bubblegum,2
YlOrRd,2
celestial-domain-25,2
cet_diverging_bwr_20_95_c54,2
cet_linear_protanopic_deuteranopic_kbw_5_95_c34,2
cet_linear_tritanopic_kcw_5_95_c22,2
cet_linear_tritanopic_krw_5_95_c46,2
cet_linear_wyor_100_45_c55,2
chiaris-25,2
citadel,2
city_of_lights,2
cmr.arctic,2
cmr.eclipse,2
cmr.emergency,2
cmr.emergency_s,2
cmr.fall,2
cmr.seasons,2
cmr.sepia,2
cmr.sunburst,2
cmr.torch,2
cmr.viola,2
cmr.waterlily,2
commons_Mandelbrot_3_B_C3_B4ng_Xoay,2
commons_Mandelbrot_5__E1_BB_90c_D_C3_A3y_B_C3_B4ng,2
commons_Mandelbrot_set-35-k_3D10-filter01,2
congruity-25,2
copper,2
dimensionality-25,2
dolphin-dance-25,2
flaming-wings-25,2
forgery-25,2
fractal_stripes_bends_lines_116839_2560x1600,2
freedor,2
gist_heat,2
gossamer-25,2
happy-hours-25,2
intermission-25,2
jadanti,2
ley-lines-25,2
magnificat-25,2
mean-25,2
muswirla,2
no-mans-land-25,2
skyroads-blue-25,2
the_light_fantastic,2
transcendence-25,2
wallhaven_wallhaven-39lg2d,2
wallhaven_wallhaven-47xzoe,2
wallhaven_wallhaven-k97v5q,2
wallhaven_wallhaven-zxv17j,2
